nev,email,holhallott,mennyirelegedett,szakirany,szoveg
Kati Keuneke,kkeuneke0@dailymail.co.uk,2,2,1,Tapirus terrestris
Alfons Cherrie,acherrie1@reference.com,1,3,1,Laniaurius atrococcineus
Tiebold Kerfod,tkerfod2@ed.gov,3,3,1,Papio cynocephalus
Calypso Fleckney,cfleckney3@noaa.gov,5,4,3,Echimys chrysurus
Claretta Louthe,clouthe4@parallels.com,2,1,1,Chloephaga melanoptera
Flore Featherstonhaugh,ffeatherstonhaugh5@blogs.com,4,4,1,Vicugna vicugna
Gardener Sheward,gsheward6@nature.com,2,3,3,Chlamydosaurus kingii
Daisie Hartas,dhartas7@cdc.gov,2,2,1,Chelodina longicollis
Irvine Detheridge,idetheridge8@admin.ch,4,4,1,Cracticus nigroagularis
Calida Bothams,cbothams9@tinypic.com,1,3,1,Eunectes sp.
Fabian Midlane,fmidlanea@skype.com,3,2,2,Ratufa indica
Guntar Idiens,gidiensb@google.de,1,3,4,Ploceus rubiginosus
Mercedes Clerke,mclerkec@noaa.gov,3,2,2,Haliaetus vocifer
Bernie Lemerle,blemerled@thetimes.co.uk,5,2,4,Phascogale calura
Fiona Cordery,fcorderye@tuttocitta.it,5,4,4,Oreotragus oreotragus
Orelie Vasyukhichev,ovasyukhichevf@weibo.com,5,2,4,unavailable
Eugenio Ralton,eraltong@amazon.de,1,2,1,Catharacta skua
Sherline Bumby,sbumbyh@illinois.edu,4,3,1,Ictalurus furcatus
Margarita Godding,mgoddingi@omniture.com,1,2,2,Corvus brachyrhynchos
Sully Keeney,skeeneyj@istockphoto.com,5,3,1,Phoca vitulina
Lila Joy,ljoyk@cafepress.com,1,3,3,Bison bison
Gray Matyas,gmatyasl@nydailynews.com,5,1,4,Tiliqua scincoides
Delinda Zeale,dzealem@blogger.com,1,4,3,Ursus maritimus
Berkly MacAughtrie,bmacaughtrien@php.net,4,2,3,Tachyglossus aculeatus
Maison Ashforth,mashfortho@hao123.com,5,2,3,Pseudocheirus peregrinus
Chelsey McAster,cmcasterp@columbia.edu,5,2,4,Coracias caudata
Antonio Heggman,aheggmanq@japanpost.jp,4,1,2,Nasua narica
Liana Le Fevre,ller@lycos.com,2,1,2,Paradoxurus hermaphroditus
Sauncho Kemster,skemsters@paypal.com,2,2,3,Felis chaus
Dareen Vales,dvalest@wisc.edu,3,1,2,Alcelaphus buselaphus cokii
Aubry Hasluck,ahaslucku@nytimes.com,4,2,2,Phoca vitulina
Rubina Fitchet,rfitchetv@sakura.ne.jp,3,4,3,Stercorarius longicausus
Mallorie Iacovacci,miacovacciw@smh.com.au,5,4,3,Axis axis
Kariotta Grinnell,kgrinnellx@sina.com.cn,1,1,1,Ploceus intermedius
Bil MacGhee,bmacgheey@salon.com,4,1,2,Felis concolor
Kaylee Mingey,kmingeyz@t.co,5,1,1,Raphicerus campestris
Gunter D'Agostino,gdagostino10@businessinsider.com,2,1,4,Chlamydosaurus kingii
Mikaela Muehler,mmuehler11@twitter.com,3,3,1,Naja sp.
Quinta Iwanowski,qiwanowski12@hugedomains.com,2,4,2,Uraeginthus angolensis
Glynnis O'Shavlan,goshavlan13@arstechnica.com,2,1,2,Oncorhynchus nerka
Sarena Attenborough,sattenborough14@psu.edu,2,3,4,Spheniscus mendiculus
Angus Middiff,amiddiff15@example.com,2,4,2,Camelus dromedarius
Dominique Dawby,ddawby16@myspace.com,4,4,2,Amblyrhynchus cristatus
Nanice Egalton,negalton17@squidoo.com,1,3,4,Uraeginthus granatina
Orly Botham,obotham18@opera.com,2,3,3,Charadrius tricollaris
Asher Cloake,acloake19@omniture.com,4,3,4,Cordylus giganteus
Siward Didsbury,sdidsbury1a@scribd.com,4,4,3,Sciurus vulgaris
Euphemia McParlin,emcparlin1b@php.net,5,3,4,Lemur catta
Port Devaney,pdevaney1c@theatlantic.com,4,2,2,Ceratotherium simum
Noelle Dilawey,ndilawey1d@npr.org,3,2,4,Bubulcus ibis
Darbie Critcher,dcritcher1e@time.com,4,3,4,Lamprotornis nitens
Abbot Earngy,aearngy1f@bloomberg.com,5,1,4,Genetta genetta
Lew Dederick,ldederick1g@usda.gov,2,4,3,Uraeginthus angolensis
Dori Adlard,dadlard1h@google.fr,3,2,2,Centrocercus urophasianus
Sasha Dobrowolski,sdobrowolski1i@taobao.com,5,3,1,Spermophilus richardsonii
